Date,days_since
2014-12-14,0
2015-01-05,22
2015-01-14,9
2015-01-21,7
2015-01-28,7
2015-02-08,11
2015-03-18,38
2015-04-08,21
2015-04-15,7
2015-04-21,6
2015-04-22,1
2015-04-25,3
2015-04-29,4
2015-05-06,7
2015-05-27,21
2015-05-29,2
2015-06-03,5
2015-06-06,3
2015-06-10,4
2015-06-13,3
2015-06-24,11
2015-07-01,7
2015-07-08,7
2015-08-05,28
2015-09-02,28
2015-09-16,14
2015-09-30,14
2015-10-03,3
2015-10-07,4
2015-10-10,3
2015-10-18,8
2015-11-04,17
2015-11-14,10
2015-11-25,11
2015-12-18,23
2015-12-19,1
2016-05-11,144
2016-05-14,3
2016-05-15,1
2016-05-19,4
2016-05-20,1
2016-05-25,5
2016-05-30,5
2016-09-07,100
2016-10-12,35
2016-12-02,51
2017-01-01,30
2017-04-08,97
2017-04-14,6
2017-06-28,75
2017-08-21,54
2017-12-16,117
2018-01-28,43
2018-04-03,65
2018-05-14,41
2018-05-17,3
2018-05-20,3
2018-09-01,104
2019-02-05,157
2020-10-24,627
2021-05-14,202
2021-05-15,1
2021-06-09,25
2021-06-14,5
2021-08-23,70
2021-09-29,37
2022-03-02,154
2022-07-01,121
2023-04-14,287
2023-05-10,26
2023-06-23,44
2023-09-10,79
